Pergunta,Resposta
Oi;Olá;boa Tarde;bom dia;boa noite;,"Olá, tudo bem? Eu sou a Pri, a especialista virtual da Quanta.   Por aqui, consigo ajudar você tirando dúvidas sobre a comercialização do plano, procedimentos operacionais em nossos canais e outros assuntos.   Basta você digitar uma palavra chave ou clicar em uma das opções abaixo.  Sobre o que vamos conversar hoje?"
Como faço para pedir resgate total ou parcial das subcontas?,"Para solicitar o resgate total ou parcial (incluindo subcontas de portabilidades, aportes e contribuições básicas), após o cumprimento da carência, acesse a plataforma Quanta seguindo os passos abaixo:
Entre como INSTITUIDOR. 
Clique em Iniciar Atendimento.
Selecione, no filtro, o CPF ou a matrícula do participante.
Clique no nome do participante e, em seguida, em Atender.
Depois, siga este caminho:
Clique em Meu Plano.
Selecione Resgate.
Clique em Fazer Resgate e escolha o tipo de resgate desejado. Em seguida, complete o preenchimento da solicitação.
Esse novo procedimento elimina a necessidade de enviar o termo via e-mail para a Quanta.
Importante: O pagamento do resgate será realizado na conta de pessoa física do titular do plano ou, no caso de menores, na conta do responsável legal. Se precisar alterar os dados bancários, é fundamental fazê-lo antes de solicitar o resgate, o pagamento acontece conforme os seguintes prazos:

Solicitações recebidas entre os dias 1 a 15 do mês: pagamento até o último dia do mesmo mês.
Solicitações recebidas entre os dias 16 até o último dia do mês: pagamento até o dia 16 do mês subsequente.
Os pagamentos ocorrem ao longo do dia nas datas mencionadas.
⚠️ ATENÇÃO: NÃO É POSSÍVEL REALIZAR O RESGATE ANTES DO TÉRMINO DA CARÊNCIA.
O pagamento acontece ao longo do dia nas datas acima. <br>
:warning:  NÃO É POSSÍVEL REALIZAR O RESGATE FORA DA CARÊNCIA 
"
"Como fazer o resgate total? Cooperado quer saber quanto vai ter de retenção de IR se pedir resgate. 
Cooperado está um estudo para resgatar o plano e quer saber os valores. 
Onde acompanho os valores para resgate do plano Participante quer resgatar, quanto haverá de IR? 
Se o participante resgatar a previdência, quanto libera para ele?","Após o cumprimento dos 36 meses de carência do plano , é possível solicitar o Resgate Total. O pagamento pode ser feito de forma única ou parcelado em até 12 vezes. 
Para simular e solicitar o resgate total em parcela única, clique no botão da plataforma.
Lembrando que, após a concessão do resgate, o plano do participante será encerrado automaticamente.
"
"Como realizar o resgate parcial?  É possível fazer resgate parcial ? O cooperado quer uma parte de sua portabilidade, é possível? É possível retirar um montande da previdência e não cancelar o plano? ","Após o cumprimento da carência de 36 meses. O participante poderá resgatar da seguinte forma:

• Contribuições Básicas do Participante: poderá ser resgatado até 20% do saldo total de contribuições do participante a cada dois anos.<br>
• Contribuições extras (aportes): Poderá ser resgatado até 100% das contribuições de aporte realizadas pelo participante a qualquer tempo.<br>
• Portabilidade: Poderá ser resgatado até 100% do valor proveniente de portabilidade a qualquer tempo. Sendo vedado o resgate de contribuições realizadas por patrocinadores.

Você poderá simular e solicitar o resgate parcial diretamente clicando no botão da Plataforma 😉"
É possível resgatar o aporte que era feito pela empresa? O ex participante já cumpriu a carência para receber o aporte feito pela Unicred quando vai receber? O cooperado quer receber o saldo  que a empresa contribuia como proceder? Como faço para pedir o resgate do que a firma contribuia no plano?,"O resgate das Contribuições Empregador ocorre a partir da solicitação de resgate total do plano. <br>
É importante salientar que existe uma carência para resgatar as contribuições empregador, esta carência se distingue da seguinte maneira:<br>
Planos aderidos antes de 2016 tem uma carência de 18 meses após o último aporte realizado pelo empregador;<br>
Planos aderidos após 2016 tem uma carência de 36 meses após o último aporte realizado pelo empregador.<br>
O pagamento ocorrerá na conta indicado no formulário de resgate total do plano, em caso de alteração de conta, será necessário informar a Quanta via formulário de e-mail > clicando no ícone abaixo “abrir chamado br>"
"Onde consigo o extrato de resgate do participante? 
solicito o ext5rato de resgate
Solicito uma simulação de resgate ","As simulações de resgate são realizadas através da Plataforma. Caso o participante ainda não tenha escolhido a alíquota do plano conforme Lei 14.803, será possível simular a incidência de imposto do regime regressivo e progressivo.
Iniciar Atendimento > Meu Plano > Resgate > Solicitar > Avançar Etapa 1 e 2 > Etapa 3: Escolher Tributação > Etapa 4: Selecionar Baixar Simulação ou Enviar por e-mail
Lembre-se: uma vez alterada a tabela de tributação após 11/01/2024, essa escolha é irretratável."
Como fazer retenção de resgate?  Quais argumentos posso usar para o participante não resgatar o plano? ,"Já pensou que antes de prosseguir com a solicitação de resgate, é possível reter este cooperado? :thinking: 

Vamos às dicas para retenção :point_down: 

• Ofertar crédito ou empréstimo pessoal, comparando a retenção de imposto com as menores taxas de juros da cooperativa;

• Informar sobre as perdas e desvantagens ao resgatar antes do período de recebimento;

• Mostrar todas as vantagens que o cooperado possui ao manter seu plano de previdência como: <u>Preservação do seu patrimônio, diferimento fiscal, benefício de dedução fiscal, maior rentabilidade acumulada no longo prazo, baixa taxa de administração, sem fins lucrativos etc</u>;

• Indicar a possibilidade de suspensão do plano pelo período que desejar;

• Indicar um <u>resgate parcial</u> com complementação em crédito junto a cooperativa;

• Ofertar consultoria junto à Quanta; 

Se ficou em dúvidas sobre como ofertar essas vantagens, nossos atendentes estão prontos para te dar suporte, basta informar que quer um atendimento humanizado. "
,"Ok, entendi que você quer falar sobre assuntos financeiros. <br> :money_mouth: <br> Como posso te ajudar?"
como devolver  como devolvo um valor  como estornar  como estorno  como faco para devolver um valor  como faco para estonar um valor  devolucao  devolucoes  débito em duplicidade  estorn  estornar contribuição da previdencia  estornar o agendamento do debito  estorno  estorno de boleto  estorno de contribuicao  estorno e devolucoes  estorno sop  estornos  fazer devolucao  ja solicitei o estorno e a contribuicao debitou novamente  o cooperado esta com dificultades este mes e nao podera pagar a aposentadoria que entrou  podemos devolver o valor a conta  preciso fazer devolucao  preciso fazer estorno  quero devolver um valor  quero estornar esse valor  solicitacao de estorno  solicitacao estorno  solicitar estorno  solicitei o estorno da contribuicao e dia 05 debitou de novo,"Para solicitar estorno das contribuições, acesse SOP > Mov. Financeiras > Solicitação de Estorno > Digitar CPF > Pesquisar > Solicitar > Preencher Campos Informações Necessárias > Solicitar. 
Todas as solicitações devem ser autorizadas pelo <u>GERENTE/ASSESSOR</u> no SOP > Mov. Financeiras > Autorização Gerencial. 
A Quanta tem preferencialmente 5 dias úteis para realizar a devolução. A solicitação deverá ocorrer no máximo em D+2, ou seja, a solicitação e autorização gerencial devem ser dentro de 48 horas do débito. Após esse período, não é possível realizar estornos. <br>
:warning: ATENÇÃO: NÃO É POSSÍVEL SOLICITAR ESTORNO DAS CONTRIBUIÇÕES PARA PROTEÇÃO FAMILIAR. "
"Participante está com parcelas em aberto, onde regularizar?
Onde consulto as parcelas em aberto?
Onde encontro o que está em aberto? ","É possível consultar as parcelas em aberto no SOP > Movimentações financeiras > contribuições não pagas. O participante tendo saldo em conta é possível realizar o débito diretamente neste menu. As parcelas ficam disponíveis no SOP 48 horas após o débito.<br>
Também é possível o participante regularizar as contribuições por meio do aplicativo da Quanta (boleto bancário).
• Menu serviços > Pagamentos > Contribuições a vencer / Contribuições em aberto

Atenção: Após 6 contribuições em atraso (seguidas ou não), as coberturas de proteção familiar serão canceladas e o valor de aposentadoria será reduzido para R$30,00."
"Participante está com parcelas em aberto, onde regularizar?
Onde consulto as parcelas em aberto?
Onde encontro o que está em aberto? ","É possível consultar as parcelas em aberto no SOP > Movimentações financeiras > contribuições não pagas. O participante tendo saldo em conta é possível realizar o débito diretamente neste menu. As parcelas ficam disponíveis no SOP 48 horas após o débito.<br>
Também é possível o participante regularizar as contribuições por meio do aplicativo da Quanta (boleto bancário).
• Menu serviços > Pagamentos > Contribuições a vencer / Contribuições em aberto

Atenção: Após 6 contribuições em atraso (seguidas ou não), as coberturas de proteção familiar serão canceladas e o valor de aposentadoria será reduzido para R$30,00."
"O que é aporte?
O que é contribuição extra? 
como é realizado a contribuição extra","O que é contribuição extra?<br>
Trata-se de uma contribuição eventual, extra. A Contribuição extra (aporte) pode ser realizada pelo participante ou por terceiros sem limite de valores. Você angariador, pode fazer um aporte para o participante através de boleto bancário ou via débito em conta, siga o passo a passo: Plataforma> Iniciar Atendimento > CPF> buscar > Contribuições> Selecionar forma de pagamento> inserir o vencimento e o valor > selecionar a conta > receber Token. 

O participante também pode gerar boleto de contribuição extra único através da Área Restrita do Participante e Aplicativo Quanta  e pode programar um aporte através do app."
"Como fazer aporte via débito? 
Onde eu gero um aporte pra debitar na conta? ","A contribuição extra (aporte) via débito pode ser gerado através do SOP em Movimentações Financeiras > Contribuição Extra > Novo. Você pode gerar o aporte único e também o programado. 
"
"Como cancelar o aporte? 
Como fazer o cancelamento da contribuição extra",
arquivo de inadimplentes  debito automatico nao realizado  debito dia 05  qual data de repique de debito automatico  repique  repique das parcelas,"    O participante que não tiver saldo no dia do vencimento da contribuição, pode regularizar a parcela através do menu contribuições não pagas na Plataforma (Menu: Iniciar Atendimento > Minhas Contribuições) ou aguardar o repique (teimosinha) onde ocorre a tentativa de débito na c/c todo 5º dia útil do mês seguinte.  Atenção: Após 6 contribuições em atraso (seguidas ou não), as coberturas de proteção familiar serão canceladas e o valor de aposentadoria será reduzido para R$30,00.  "
arquivo de inadimplentes  debito automatico nao realizado  debito dia 05  qual data de repique de debito automatico  repique  repique das parcelas,"    O participante que não tiver saldo no dia do vencimento da contribuição, pode regularizar a parcela através do menu contribuições não pagas Plataforma (Menu: Iniciar Atendimento > Minhas Contribuições) ou aguardar o repique (teimosinha) onde ocorre a tentativa de débito na c/c de até 2 contribuições sem pagamento todo 5º e 12º dia útil.  Atenção: Após 6 contribuições em atraso (seguidas ou não), as coberturas de proteção familiar serão canceladas e o valor de aposentadoria será reduzido para R$30,00   "
" É possível suspender o plano? Como é feita suspensão do Plano? Pode suspender mais de uma vez o plano? Qual procedimento para suspender o plano? Qual o prazo para suspensão? É possível paralizar o Plano?  O cooperado pode não pagar/contribuir no Plano?  Participante deseja parar de contribuir por um tempo, como fazer? Participante quer para de contribuir por um período, como proceder? Posso suspender as coberturas de risco por morte e invalidez total e permanente?  Com o plano suspenso, as coberturas de risco também serão? O risco pode ser suspenso?",Inserir fluxo - integração
